,position (um),Ecad intensity,Abi intensity
746,51.3953,15.0754,1.91369
747,51.4642,12.6199,1.92966
748,51.5331,9.4222,1.0205
749,51.602,6.3445,1.08722
750,51.6709,7.6105,1.03077
751,51.7398,11.0785,0.93108
752,51.8087,10.4807,1.19195
753,51.8776,13.3869,1.04867
754,51.9464,15.6705,0.98855
755,52.0153,15.9653,1.43627
756,52.0842,15.443,1.20275
757,52.1531,16.1024,1.1714
758,52.222,17.6091,0.97776
759,52.2909,16.597,0.83191
760,52.3598,17.5474,1.19753
761,52.4287,15.6162,1.30352
762,52.4976,12.8399,1.20181
763,52.5665,13.746,1.01327
764,52.6354,15.3586,1.1793
765,52.7043,11.2403,1.46106
766,52.7732,11.9694,1.42833
767,52.8421,12.9648,2.43858
768,52.911,12.1472,2.67659
769,52.9799,12.7309,1.81166
770,53.0488,13.252,1.92722
771,53.1177,13.9421,1.91247
772,53.1866,14.2052,2.14394
773,53.2554,14.4159,1.5619
774,53.3243,16.5988,1.1667
775,53.3932,15.692,1.02168
776,53.4621,14.9446,0.83007
777,53.531,12.3262,0.7935
778,53.5999,9.9822,0.85035
779,53.6688,10.1919,1.34181
780,53.7377,13.0289,1.65031
781,53.8066,14.9279,1.29218
782,53.8755,18.4074,1.35747
783,53.9444,16.9066,1.20393
784,54.0133,17.1834,1.17092
785,54.0822,13.5637,1.40232
786,54.1511,11.7552,0.68466
787,54.22,15.3604,0.84927
788,54.2889,14.7973,0.81112
789,54.3578,13.7263,1.27993
790,54.4267,13.7381,2.18564
791,54.4955,14.4421,3.87158
792,54.5644,14.1395,3.48832
793,54.6333,14.2395,2.83465
794,54.7022,13.838,2.98093
795,54.7711,15.6691,2.58894
796,54.84,16.5764,2.14591
797,54.9089,20.1946,1.68255
798,54.9778,20.4015,1.41233
799,55.0467,18.6416,1.16972
942,0.0,18.976,3.59544
943,0.0689,18.2489,3.57225
944,0.1378,20.5486,3.6168
945,0.2067,17.8897,3.13372
946,0.2756,16.7898,2.45686
947,0.3445,16.1381,2.5483
948,0.4134,13.9824,1.72623
949,0.4823,15.8319,1.75453
950,0.5512,14.0631,1.86389
951,0.6201,15.0549,1.92813
952,0.6889,15.2431,2.07337
953,0.7578,14.902,1.7731
954,0.8267,15.6219,1.46061
955,0.8956,16.7106,1.71258
956,0.9645,18.3195,1.49848
957,1.0334,15.0271,2.14387
958,1.1023,12.4063,2.10843
959,1.1712,13.1618,2.15436
960,1.2401,15.5974,1.92753
961,1.309,14.8406,2.06001
962,1.3779,16.5023,2.35722
963,1.4468,20.5417,2.34834
964,1.5157,23.7848,3.0345
965,1.5846,24.1376,3.676
966,1.6535,24.7938,3.81999
